period,revenue,gross_profit,operating_income,net_income,cfo,capex,fcf,shares,eps,total_assets,receivables,ppe,current_assets,depreciation,sga,total_liabilities,deferred_revenue
FY2022,57409,31345,,-143650,,,,,,,,,,,,,
FY2023,124538,80452,,-787957,,,,,,,,,,,,,
FY2024,312414,175889,-2538352,-2958007,-2244900,462300,-2707200,159875,-8.72,4375769,91135,866363,3015867,,521078,8330914,213161
FY2025,724334,296656,-3786750,-4718167,-2246000,74700,-2320700,159522,-12.03,4853861,303208,655825,3571411,,896226,12964843,251316
