period,revenue,gross_profit,operating_income,net_income,cfo,capex,fcf,shares,eps,total_assets,receivables,ppe,current_assets,depreciation,sga,total_liabilities,cash,interest_bearing_debt,pre_tax_income,deferred_revenue,minority_equity,goodwill
FY2022,57409,31360,,-143650,,,,,,361976,,,,,,,542164,,,,,,
FY2023,124538,80482,,-787957,,,,,,2860153,,,,,,,3842746,,,,,,
FY2024,312414,175889,,-2958007,-2244919,132760,-2377679,,,4375769,91135,,,,,8330914,,,,,,75059
FY2025,724334,296656,-3786750,-4718167,-2246123,23088,-2269211,159522220,-12.03,4853861,303208,655825,3571411,,896226,12964843,2259147,1234595,,148644,-18480,39379
2025H1,190877,95424,-1899225,-2357852,,,,159522000,-6.23,,,,,,393735,,,,,,,
2026H1,953892,251611,-2146552,-2071992,,,,432359000,-4.67,9644830,782944,855060,6993696,,281012,5215274,3993722,2604199,-2070030,302325,12508,283815
